"EAUS_Educational attainment, at least completed upper secondary (ISCED 3 or more) (% population aged 25+), by sex"

"Country (Engl. Name/Nat. Name)";"Sex";"1970";"1971";"1972";"1973";"1974";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017"
"AL Albania/Republika e Shqipërisë ";"Total";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;37.04;..;..;..;..;..;..;39.89;..;..;43.49;45.28;..;..;..;..;..
"AL Albania/Republika e Shqipërisë ";"Female";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;32.12;..;..;..;..;..;..;35.29;..;..;38.73;44.49;..;..;..;..;..
"AL Albania/Republika e Shqipërisë ";"Male";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;42.07;..;..;..;..;..;..;44.99;..;..;48.43;46.15;..;..;..;..;..
"na Andorra/Andorra ";"Total";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;47.84;47.55;47.35;..
"na Andorra/Andorra ";"Female";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;47.59;47.28;47.04;..
"na Andorra/Andorra ";"Male";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;48.08;47.81;47.66;..
"na Armenia/Hayastani Hanrapetut?yun ";"Total";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;81.58;..;..;..;..;..;..;..;..;..;90.24;..;..;..;91.84;..;..
"na Armenia/Hayastani Hanrapetut?yun ";"Female";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;81.07;..;..;..;..;..;..;..;..;..;90.37;..;..;..;92.04;..;..
"na Armenia/Hayastani Hanrapetut?yun ";"Male";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;82.19;..;..;..;..;..;..;..;..;..;90.09;..;..;..;91.59;..;..
"na Australia/Australia ";"Total";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;64.12;65.03;66.71;68.19;70.09;70.86;72.80;74.06;76.48;72.04;71.23;75.56;76.42;..
"na Australia/Australia ";"Female";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;58.63;60.29;62.58;64.18;67.18;68.23;70.60;72.64;75.00;70.12;69.81;73.35;74.57;..
"na Australia/Australia ";"Male";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;69.73;69.87;70.93;72.25;73.05;73.49;74.99;75.51;77.99;73.99;72.67;77.82;78.31;..
"AT Austria/Österreich ";"Total";..;38.32;..;..;..;..;..;..;..;..;..;50.71;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;74.20;..;73.59;72.47;75.81;76.56;76.43;76.98;77.31;78.11;79.01;79.21;..
"AT Austria/Österreich ";"Female";..;25.75;..;..;..;..;..;..;..;..;..;38.13;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;66.92;..;64.91;62.96;68.06;69.25;69.07;69.83;70.53;71.53;72.47;72.89;..
"AT Austria/Österreich ";"Male";..;54.05;..;..;..;..;..;..;..;..;..;66.12;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;82.15;..;83.02;83.55;84.20;84.46;84.37;84.67;84.60;85.19;86.02;85.93;..
"na Azerbaijan/Azerbaycan Respublikasi ";"Total";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;83.53;..;..;..;..;..;..;..;82.95;82.96;88.61;88.65;88.66;88.71;88.72;88.71;88.67;88.66;..
"na Azerbaijan/Azerbaycan Respublikasi ";"Female";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;78.75;..;..;..;..;..;..;..;77.95;77.89;85.36;85.52;85.56;85.52;85.48;85.45;85.37;85.36;..
"na Azerbaijan/Azerbaycan Respublikasi ";"Male";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;88.93;..;..;..;..;..;..;..;88.56;88.63;92.17;92.05;92.05;92.20;92.24;92.27;92.26;92.25;..
"na Belarus/Belarus ";"Total";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;84.85;..;..;..;..;..;..;..;..
"na Belarus/Belarus ";"Female";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;82.47;..;..;..;..;..;..;..;..
