unmet,Latitude,Longitude
,53.285294,69.404969
,53.287131,69.404449
0,53.287131,69.404449
,53.287131,69.404449
1,53.281115,69.386299
,53.329117,69.426236
,53.279311,69.39285
,53.287131,69.404449
,53.287131,69.404449
,53.271014,69.389495
,53.283458,69.398568
1,53.287131,69.404449
,53.282856,69.366144
,53.287131,69.404449
0,53.287131,69.404449
0,53.299862,69.382621
1,53.287131,69.404449
0,53.282856,69.366144
,53.287131,69.404449
,53.287131,69.404449
,53.287131,69.404449
,53.274649,69.402156
,53.27388,69.40755
,53.272899,69.40359
1,53.287131,69.404449
,53.279667,69.412194
,53.26898,69.365538
,53.284699,69.426314
,53.287131,69.404449
,53.287131,69.404449
,53.270606,69.426276
,53.282792,69.380387
0,53.282792,69.380387
0,53.279311,69.39285
0,53.287131,69.404449
,53.287131,69.404449
0,53.287131,69.404449
,53.279311,69.39285
,53.287131,69.404449
,53.28537,69.427719
,53.279311,69.39285
0,53.287131,69.404449
,53.287131,69.404449
0,53.27388,69.40755
1,53.287131,69.404449
1,53.287131,69.404449
,53.330519,69.432634
,53.287131,69.404449
1,53.285756,69.389227
0,53.285294,69.404969
,53.287131,69.404449
,53.287131,69.404449
1,53.279311,69.39285
0,53.285294,69.404969
,53.287131,69.404449
,53.281115,69.386299
,53.287131,69.404449
,53.287131,69.404449
,53.285756,69.389227
1,53.279311,69.39285
1,53.287131,69.404449
0,53.268996,69.424957
,53.287131,69.404449
,53.287131,69.404449
,53.287131,69.404449
,53.331322,69.432151
,53.287131,69.404449
,53.268996,69.424957
,53.287131,69.404449
,53.275557,69.400855
,53.287131,69.404449
,53.327978,69.430992
,53.27388,69.40755
,53.26898,69.365538
,53.279311,69.39285
,53.283558,69.386673
,53.283458,69.398568
,53.287131,69.404449
,53.290409,69.387932
,53.276749,69.377802
1,53.287131,69.404449
0,53.284699,69.426314
0,53.285294,69.404969
,53.274649,69.402156
,53.287131,69.404449
,53.275951,69.380051
1,53.283558,69.386673
1,53.296961,69.38864
0,53.287131,69.404449
,53.271501,69.405307
0,53.270606,69.426276
,53.283558,69.386673
0,53.281115,69.386299
,53.282792,69.380387
1,53.285756,69.389227
,53.283558,69.386673
1,53.287131,69.404449
,53.287131,69.404449
1,53.27388,69.40755
1,42.812291,68.95694
1,53.27388,69.40755
,53.269058,69.367959
,53.283558,69.386673
,53.269058,69.367959
,53.283458,69.398568
1,53.285387,69.380132
,53.283558,69.386673
,53.287131,69.404449
,53.281115,69.386299
1,53.281115,69.386299
0,53.281115,69.386299
0,53.281115,69.386299
0,53.281115,69.386299
0,53.281115,69.386299
1,53.281115,69.386299
,53.281115,69.386299
,53.281115,69.386299
0,53.281115,69.386299
1,53.281115,69.386299
,53.281115,69.386299
,53.281115,69.386299
,53.281115,69.386299
,53.281115,69.386299
1,53.281115,69.386299
,53.281115,69.386299
,53.281115,69.386299
,53.281115,69.386299
,53.281115,69.386299
0,53.281115,69.386299
1,53.281115,69.386299
,53.281115,69.386299
,53.281115,69.386299
,53.281115,69.386299
0,53.281115,69.386299
0,53.281115,69.386299
1,53.281115,69.386299
,53.325935,69.260924
,53.497777,50.392272
,53.325935,69.260924
,53.497777,50.392272
,53.325935,69.260924
,53.325935,69.260924
,53.497777,50.392272
0,53.325935,69.260924
